PID,Social Media Post,Normalized Claim
40,"this is the guy who added his infected blood to pepsi. for the next few weeks do not drink any products from pepsi, as a worker from the company has added his blood contaminated with hiv aids . brothers and sisters please this message to the people who you care",man shown in the picture has added his hiv infected blood to pepsi. do not consume pepsi for the next few weeks
41,the chinese balloon has been shot down after biden called the chinese president and asked for his permission to shoot it down.,biden asked china for permission to shoot down spy balloon
42,"unsurprisingly, the only two regimes to ever regulated stargazing have been the inquisition and",state forces citizens to pay for stargazing permit to view night sky in public parks
43,"this is a rohingya family. destitute on a road in delhi. together with 8 children, 3 wives, out of which 2 are also pregnant. in hand is samsung c7 pro mobile which costs only rs 29,000. the opposition is sad to see their condition, so keep paying taxes on time","this is a rohingya family. destitute on a road in delhi. together with 8 children, 3 wives, out of which 2 are also pregnant. in hand is samsung c7 pro mobile which costs only rs 29,000. the opposition is sad to see their condition"
44,"planned by then cm modi, inaugurated by pm modi, jamnagar junagarh highway bridge collapsed within 3 months of inauguration!",the collapsed jamnagar junagarh highway bridge was inaugurated by pm modi three months ago.
45,anything is possible with yogiraj. got a job for those who smoke ganja salary more than 80 lakhs.,anything is possible with yogiraj
46,japan's dressing room after costa rica match.,japan s dressing room after the costa rica match.
47,had this floating around my family whatsapp threads. looks like spam? getting trough family panic and anti china paranoia about coronavirus is proving hard enough as it is.,"coronavirus stays on fabric for 9 hours, so washing clothes or being exposed to the sun for two hours meets the purpose of killing it."
48,the plane of indonesia passengers has a narrow escape,indonesia
49,"if you are experiencing pregnancy complications and your doctor tells you that abortion is necessary, find a new doctor. you and your baby deserve better. abortion is never medically necessary to save the life of the mother.",abortions are never medically necessary
50,"amul 75th anniversary! click to enter to participate in the survey, have a chance to win 6000 rupee!","amul 75th anniversary! click to enter to participate in the survey, have a chance to win 6000 rupee!"
51,another in a series of lies spread by modi .. !!,pm narendra modi credited first metro service in the country to atal bihari vajpayee
52,"2020 peak active cases 9,034,460 vaccinated 0 2021 peak active cases 9,243,682 vaccinated 71 i hate to break this to you, but this not a ""pandemic of the unvaccinated.""","""peak active cases of covid 19 for 2020 vs. 2021 show this is not a pandemic of the unvaccinated.'"""
53,"we are going to celebrate our grand opening by doing something special for you. we will be rewarding someone who has shared then commented by february 13th with a 10 night stay for 2 people in a 4 all inclusive hotel. do not worry about flights and transfers, it is all included. you will have 2 years to use the holiday",people who share then comment on a facebook post will be given the chance to win a holiday.
54,bjp has won elections in gujarat and himachal pradesh through evm hacking ts krishnamurthy pre election commissioner,bjp has won elections in gujarat and himachal pradesh through evm hacking ts krishnamurthy pre election commissioner
55,aussie with the real talk,"in australia, a 17 increase in heart attack deaths in the first eight months of 2022 is linked to covid 19 vaccination."
56,"did you know? natural cures89 dandelion root is able to kill 98 of cancer cells within 48 hours. not only that, but it acts as a powerful anti inflammatory, immune booster, antioxidant and organ detoxifier",dandelion root is able to kill 98 of cancer cells within 48 hours.
57,atheist in in indian context is only a hindu non believer of his own hereditary faith but owing allegiance to other faiths. that too to christianity. pl be informed of this clarification,"pictures of south indian actor turned politician, prakash raj, have gone viral with a claim that he has become a christian. we found that the pictures were real but not from the same context that is shared in social media messages."
58,not sure if he is prophesying or planning? has anyone read the chapter that this passage belongs to?,"thousands in spain, israel and portugal have taken to the streets in protest against the effects of world economic forum globalism."
59,"hold off on the ""voting does not work"" doomers. voting did not work previously. now we are onto their schemes. i am going until the next election for president. i expect this one to be a haggard mess. if it does not get sorted out and accountability applied by the next one i will join you in your misery.",joe biden announced to the world tonight that they are going to cheat by dumping ballots.
60,"i think this study is very likely to be correct. i would see no reason to doubt it. more importantly, it is exactly what any immunologist would expect to be true",research from israel suggests that the pfizer vaccine is much less protective against covid 19 than natural immunity from catching the disease.
61,"hello my name is kane stewart. i was born here in , june 17 1973 looking for my birth mother or father. mother's name is cathy m evans and she was only 16 at time of my birth. that is all info i have. please help me reunite with my family by",a facebook user is searching for their birth mother or father.
62,really bad news! the baltimore house of elijah cummings was robbed. too bad!,"""elijah cummings house was broken into after trump publicly attacked him on twitter."""
63,"30 mins long but well worth a watch and just what we need , great work from this fella reporting a criminal offence committed by someone in public office",the vaccines contain polysorbate 80 and that is known to cause fertility issues.
64,this is great can post this to people that argue with me now. would be great if we can find the original link though,a poster from the mhra makes various claims about the vaccines and importance of yellow card reports.
65,"from 18th june saturday last week till august 2022 this year, it will be colder than previous years. they call it aphelion phenomenon starting from tomorrow 05.22 we will experience the aphelion phenomenon where the earth will be very far from the sun. we cannot see the phenomenon but we can feel its impact. this will last until august 2022, we will experience cold weather which will have an impact on flu, cough, shortness of breath etc.therefore, let us all increase immunity by drinking lots of vitamins or supplement so that our immunity will be strong.the distance from earth to sun is 5 light minutes of 90,000,000km the phenomenon of aphelion to 152,000,000 km 6.6 farther. protect your body from cold, wear warm cloths, drink vitamins supplements to boost your immunity.","several social media posts claim the aphelion phenomenon will increase earth s temperature till august. we fact checked and found the claim to be false. the aphelion phenomenon affects the duration of weather, not the intensity."
66,officers have been subjected to considerable levels of abuse and violence. one suffered a broken arm and another suffered broken ribs. both have been taken to hospital,police officers suffered broken bones at a bristol protest.
67,one in a hundred children will actually get sick enough with covid to be admitted to hospital,one in 100 children who catch covid 19 get sick enough with the disease to be admitted to hospital.
68,"gosh! okay... i, pete buttigieg, politician, do henceforth and forthwith declare, most affirmatively and indubitably, unto the ages, that i do favor medicare for all, as i do favor any measure that would help get all americans covered. now if you will excuse me, potholes await.","says that amazon ""is literally paying zero in taxes."""
69,re usps 1. usps has been losing billions for 14 straight years. 2. usps services have been adjusting to covid 19. 3. usps has enough liquidity to operate through mid 2021. 4. the problem with mail in voting right now is that state election standards do not match usps practices.,"says ben shapiro tweeted, the usps is not only a bloated and outdate government agency, it is also ineffective and incompetent. it is been 2 months since my wife went on a hawaii vacation with her personal trainer she said she would send me postcards every day and so far none of them have arrived."
70,"anti poison. there are many snakes with a very poisonous venom that kills within some hours if your a victim of snakes bites or poison, just look for a cashew tree, use your cutlass to get the bark of the cashew tree, and chew the bark of the tree as you chew, swallow the water, do not swallow the chaff. it will neutralize every poisonous substance from the snake even if it is an anaconda bite. very effective and powerful to destroy snake venoms. you can keep the bark for any emergency, even if it is a dry one, just soak it in water. it does not spoil, it can be kept for years god has blessed us with so many herbs but many do not know it.",eating cashew nut tree bark neutralize snake venom
71,"an ultimate solution to typhoid and a blood booster sometimes because you do not pay for these remedies or because i am not a medical doctor,you do not value the information,some great information's does not cost you a penny and it saves life's this is coconut peel, for typhoid or to boost your blood dry it very well with sun and cook it with a pinch of potash,drink a cup morning and night check yourself withing two weeks and see how typhoid will fly away the professor 2347045240525",coconut choir infused water can cure typhoid
72,there is a growing concern that a sars cov 2 related inflammatory syndrome is emerging in children in the uk,the nhs has issued a letter saying that some children infected with coronavirus have been exhibiting symptoms similar to toxic shock syndrome.
73,"thanks, joe!","joe biden said ""we cannot win this re election. we can only re elect donald trump."""
74,tree carving north kashmir dogripora.,tree carved in shape of hand is located in kashmir
75,"100 of covid deaths in canada now due to mrna vaccine, new data shows!",100 of covid 19 deaths in canada now due to mrna vaccine
76,"georgia voter id, 17 days of early voting. colorado voter id, 15 days of early voting. atlanta is 51 black. denver is 9.2 black. the is moving the out of atl which has more day of voting rights than co? the wokes are at it again, folks.","georgia ""has more day of voting rights than co."""
77,"according to the writings of the soulless dehumanised future the wef have planned. we will not need animal charities because we will cease to have pets and eat meat. we will become more android in our needs. i think animals are very important, very special and very much appreciated as companions. these soulless god players are abundant in their greed and need for power. they do not want family life to exist, so they fake concerns for minority groups who think they are being liberated, yet their liberation draws them closer to the need for government handouts and control. like moths to a flame, they are drawn in. the breakdown of the family unit is as essential as the breakup of nation states for their plans to come to fruition. meanwhile nations like russia and china concentrate on nothing but the nation state. making them stronger through trade and military capabilities. our politicians are either culpable in our demise or too dumb to see it.","according to the future the world economic forum has planned, we will not need animal charities because we will cease to have pets and eat meat."
78,"guys, if you want a 1000 gb free data on your mobile number, please give a missed call on 8866288662 from your mobile number.. also chance to win iphone x on lucky draw offer valid till tonight. do not miss the chance hurry up",support number for free netflix data and sex chat to promote bjps caa
79,"the facts are there are no new dentists, no new contract and no new money",there are now more nhs dentists across the uk.
80,"something bad just went down near morgantown, wv a moderna shipment truck crashed, hazmat dispatched, airspace shut down and now apparently emergency response is claiming the department of defense took it over","near morgantown, wv, a moderna shipment truck crashed, hazmat dispatched, airspace shut down and now apparently emergency response is claiming the department of defense took it over."
81,"in 1928, walt disney created mickey mouse. nobody could have predicted the impact mickey would have nearly a century later. he is still the walt disney company's dominant figure and the face of disney. however, in 2024, figment will take over as the official disney mascot from mickey mouse. the decision to remove mickey mouse as disney's official mascot was motivated primarily by legal concerns. mickey mouse's copyright protection is set to expire in january 2024. this means that mickey mouse will be in the public domain and anyone will be able to use him. disney's famous mouse will no longer have the same level of legal protection. via",the claim mickey mouse will be replaced as the official disney mascot
82,"the effects seen in observational studies of mask wearing will be confounded by other protective behaviours not accounted for during adjustment,","mask wearing cuts covid incidence by 53 , says global study."
83,"the respect aap has eared in 3 months, great insult",seems to have earned good respect in 3 months
84,covid came from snake venom,covid originated from snake venom
85,"turmeric and lemon are two simple, cheap and handy things you can use regularly to fight . homemade rasam is also very useful",turmeric and lemon help fight against coronavirus
86,"under no circumstance should our disinfectant products be administered into the human body through injection, ingestion or any other route",dettol antiseptic spray says it kills human coronavirus.
87,"wow, report just out! google manipulated from 2.6 million to 16 million votes for hillary clinton in 2016 election! this was put out by a clinton supporter, not a trump supporter! google should be sued. my victory was even bigger than thought!","""wow, report just out! google manipulated from 2.6 million to 16 million votes for hillary clinton in 2016 election!"""
88,argos is selling 100 electric scooters at a special price this week. get in on the action! all that is left to do is pay for shipping! find out or you are in luck.,argos is offering electric scooters and air fryers for 3 in a time limited deal.
89,this is what the leader of our country just said about the f ing energy crisis,boris johnson suggested buying a new kettle to save 10 a year on energy bills.
90,"no need of angioplasty or bypass natural therapy for opening the veins of heart lemon juice 1 cup ginger juice 1 cup garlic juice 1 cup apple vinegar 1 cup 0 dallyl lealtm1gen mix all above and boil in light flame, when if become three cups,take it off and cool down. now mix it with 3 cups of natural honey and keep it in a clean bottle. how to take take one tablespoon of this juice daily before breakfast. your blockage from veins will disappears slowly.",home remedies can replace angioplasty or bypass surgery
91,public health warning issued for fluoride toothpaste. avoid these brands at all costs. link below,a public health warning was recently issued for fluoride toothpaste.
92,news post,president donald trump nominated himself to the supreme court
93,less than 100 people have died directly from corona virus in ireland . it is not a pandemic if it was that bad do you think leo would be in the pheonix park with friends ??? this is a scam,fewer than 100 people have died directly from covid 19 in ireland
94,"people need to understand that a tumour is there to save your life. when your body is full of poison, toxaemic and acidosis and you are basically going to die of that poison your body builds a bag and collects all of that poison from your body in this bag, which they call a tumour","a tumour is a bag that collects poison from your body. a needle biopsy explodes the tumour and pours poison into the body, giving you cancer."
95,so they want us to believe that the same states that republican senators won are too close to call for the republican president? fraud!,the election is fraudulent because states that won republican senate seats cannot yet be called for a republican president
96,i want you to truly understand that currently there is a 100 positive rate because what the pcr is looking for is something that nobody knows.,pcr tests for covid 19 have a 100 false positive rate.
97,rest in peace mino.,italian football agent mino raiola has died after suffering from an illness.
98,"you science is politics. all the rcts show no or essentially no effect for cloth or surgical masks, and an understanding of aerosols shows why. the vaccines are poor, and unnecessary for most people as they have low risks and or natural immunity. ventilation works.",masks are ineffective and vaccines unnecessary for most of the people
99,you.s. health and human services director xavier becerra said covid vaccines are killing people of color at twice the rate of white people.,"after the you.s. health and human services director xavier becerra claimed that covid vaccines are killing people of colour, several social media users have shared an article that covered the news. we fact checked and found the claim to be false."
100,mukhtar abbas naqvi changed his religion,mukhtar abbas naqvi changed his religion
101,an angry ranbir kapoor throws fan's phone as he tries to click selfie watch.,an angry ranbir kapoor throws fan s phone as he tries to click selfie watch
102,these cucks actually think we are going to let them do this? they just united the population of three seperate countries to stand together against them.,the claim president joe biden signed away us sovereignty
103,get periods in 1 2 days with these home remedies,you can induce menstrual periods early with home remedies
104,"did you know? while brushing in the morning , brush your teeth with the help of that hand which you do not use for writing. doing this will wake you up and make you feel refreshed much faster than usual.","according to an instagram post, brushing teeth with a non dominant hand may improve brain function. we verified that the claim overestimates the benefits of brushing with the non writing hand. since, brushing with the non dominant hand would compromise oral hygiene. thus, our findings suggest that the assertion is mostly false."
105,there is no plausible mechanism by which any vaccine ingredient could pass to your baby through breast milk.,"vaccines are incompatible with human life, and being vaccinated while pregnant or breastfeeding may be unsafe."
106,fauci is now saying that had trump listened to the medical experts earlier he could have saved more lives. fauci was telling people on february 29th that there was nothing to worry about and it posed no threat to the us public at large. time to ...,"says of covid 19 that dr. anthony fauci ""was telling people on february 29th that there was nothing to worry about and it posed no threat to the us public at large."""
107,"so sad ,a newborn found in swansea dumpster this morning at 4am .we will keep you posted when we know more. currently baby is alive but is critical. pray for this newborn as the doctors work to save his life. investigators are searching for the parents of the baby contact the authorities if you have any information regarding this. sic",a newborn baby boy has been found in a swansea dumpster in february 2023.
108,"liz truss does not like this response from her dad please do not retweet, copy or like","liz truss s father has tweeted saying she could not tie her shoelaces until she was 12, and asking her to turn against fascism ."
109,"double l mc, out on the streets sharing his findings.. well worth watching.. double l mc, has broken down and made the connections for you to see as clear as possible... his podcasts 'rise above' on youtube are enlightening to those who still need more information about what is going on in the world right now and worth checking out... it is up to you to expand your knowledge or to at least look at thing's from a different angle when your future is on the line... humans can and do change when faced with precipitous decisions... respect and thanks to my good friend clarkie for sharing..","the pirbright institute has the main patent for coronavirus, which was granted by serco."
110,huge procession in support of in maharashtra and himachal pradesh which media people will not show you!!,images of people in himachal pradesh and maharashtra rallying in support of the citizenship amendment bill cab .
111,"the united states was supposed to be in syria for 30 days, that was many years ago. we stayed and got deeper and deeper into battle with no aim in sight. when i arrived in washington, isis was running rampant in the area. we quickly defeated 100 of the isis caliphate,.....","says ""thousands"" of captured isis fighters are ""mostly from europe."""
112,those abused girls in rotherham and elsewhere just need to shut their mouths. for the good of diversity,those abused girls in rotherham and elsewhere just need to shut their mouths. for the good of diversity
113,myelderly sic cousin who is 77 years old lives alone in london sic borough of enfield! he has two bedrooms and receives a 25 discount for a single persons sic allowance. he has received a call from enfield borough council asking him to take in a ukrainian family. he has said he does not want to. they have said do you realise we can force you to do it. he said if you force me to share my i would rather burn it down sic . he has worked all his life to pay for a small two bedroom house which sometimes the odd family member stays in the spare bedroom as he is elderly. they said if you do not like what we are saying as he expressed his views they said we can take your 25 allowance away from you,an elderly man was told by enfield council that his single occupier council tax discount could be removed if he did not house a ukrainian family in his spare room.
114,"there is a supreme court order for those who take care of stray dogs. in the cases of stray dogs roaming on the road and biting people, the supreme court said, only those who feed stray dogs should get them vaccinated, and also bear the cost of treatment if someone bites them",supreme court made an order on animal feeders liable for stray dog bites
115,"these days nothing better for imran khan to take break from noisy politics and spend time with his lovely sons, they in lahore to give a long over due hug to their dad. i wish that remarkable character khan's ex wife had came along qasim sulaiman to lahore","these days nothing better for imran khan to take break from noisy politics and spend time with his lovely sons, they in lahore to give a long over due hug to their dad. i wish that remarkable character khan s ex wife jemima khan had came along qasim sulaiman to lahore"
117,turn it off people. they are taking control of your exactly sic location,the emergency alert allows the government to take control of your exact location.
118,this would not be possible if not for the strong support given the state by and who fly daily to and from lagos and abuja respectively. we continue to appreciate your support in our drive to,airpeace and overland fly daily into akure airport to and from lagos and abuja respectively.
119,"forwarded as received the government is proposing a bill by which if the bank is having financial difficulties then they can ask depositors to take a hit. the finance ministry have got a bill approved by the cabinet called the financial resolution and deposit insurance frdi bill, 2017",preparation to table frdi bill in parliament
120,deadly amboli ghat falls,deadly amboli ghat falls
121,kentucky fried chicken lost its case after years of trying to claim it was 100 chicken. the company was found guilty of only 15 of it being chicken and the remaining 85 not good for human consumption only for dogs. the islamic judicial council withdrew its guarantee certificate as it was also found that the spice,us court said kfc is unfit for humans
122,"report dominion deleted 2.7 million trump votes nationwide. data analysis finds 221,000 pennsylvania votes switched from president trump to biden. 941,000 trump votes deleted. states using dominion voting systems switched 435,000 votes from trump to biden,","dominion voting systems deleted votes for donald trump, switched votes to joe biden"
123,"i have a buddy in france, and they just had an election there. polls closed a few hours ago and they already know who the winners are. must be nice to live in a first world country.","in france ""polls closed a few hours ago and they already know who the winners are."""
124,"shahrukh khan is supporting owaisi, hindus must come together",shahrukh khan wore owasi s party s t shirt
125,"the economy, under this conservative government, has grown by 73","in january 2020, the economy had grown by 73 under the conservative government."
126,"if our government falls, i will set the nation on fire yogi adityanath",yogi adityanath threatens to set the nation on fire if his govt is voted out
127,marvel at the huge ancient skeletons found,marvel at the huge ancient skeletons found
128,"black ""worms"" in masks and covid swabs, i think they are nanoparticals or nanobots but be interesting to find out what they are and do experiments on them like using magnets or something",fibres from face masks and test swabs are evidence of parasites.
129,dr judy mikovits. may the world start listening to these brave and courageous doctors.,"the spike proteins generated by the body in response to the covid 19 vaccines make people a ticking time bomb for cancer, blood clots and other ailments."
130,study of 145 countries finds sharp rise in virus transmission and death after introduction of covid vaccines,data from 145 countries shows that deployment of covid 19 vaccines causes an increase in covid 19 cases and deaths.
131,just digest this for a moment a minority of only 16 have achieved all this in only a few years planned from the start! you do the projections.......................,"there are four million muslims out of the 66 million in the population, which amounts to 16 of the population."
